IID Py intercept R
1000412 7.16525 1 1
1000413 1.49058 1 1
1000414 -4.34558 1 1
1000415 7.84145 1 1
1000416 -2.84586 1 1
1000417 -4.88378 1 1
1000418 -0.88945 1 1
1000419 3.70323 1 1
1000420 -6.0471 1 1
1000421 2.3072 1 1
1000422 13.3288 1 1
1000423 -1.39614 1 1
1000424 -0.209505 1 1
1000425 -2.44421 1 1
1000426 7.95261 1 1
1000427 0.644657 1 1
1000428 5.1531 1 1
1000429 -5.63691 1 1
1000430 13.0756 1 1
1000431 -4.01318 1 1
1000432 -0.612969 1 1
1000433 4.94831 1 1
1000434 4.62852 1 1
1000435 -3.81107 1 1
1000436 -4.62105 1 1
1000437 -1.75179 1 1
1000438 -5.16028 1 1
1000439 5.59672 1 1
1000440 -3.44876 1 1
1000441 -0.393356 1 1
1000442 3.33529 1 1
1000443 -3.13662 1 1
1000444 -3.17877 1 1
1000445 0.931898 1 1
1000446 4.35903 1 1
1000447 7.87609 1 1
1000448 1.67332 1 1
1000449 -1.32838 1 1
1000450 -2.35497 1 1
1000451 -3.92598 1 1
1000452 0.171622 1 1
1000453 -4.3898 1 1
1000454 -6.41535 1 1
1000455 -0.742319 1 1
1000456 -3.71275 1 1
1000457 3.30063 1 1
1000458 0.152922 1 1
1000459 2.20385 1 1
1000460 -1.83136 1 1
1000461 0.831365 1 1
1000462 -3.8296 1 1
1000463 -1.99746 1 1
1000464 6.24132 1 1
1000465 -4.88735 1 1
1000466 -0.396515 1 1
1000467 -3.61714 1 1
1000468 -8.15919 1 1
1000469 -1.2976 1 1
1000470 -5.18007 1 1
1000471 2.74439 1 1
1000472 1.93543 1 1
1000473 1.16002 1 1
1000474 -1.05075 1 1
1000475 -3.46111 1 1
1000476 -8.4514 1 1
1000477 -0.604321 1 1
1000478 7.44227 1 1
1000479 -3.10902 1 1
1000480 -4.99894 1 1
1000481 6.55581 1 1
1000482 4.15449 1 1
1000483 -4.72662 1 1
1000484 1.54244 1 1
1000485 5.11616 1 1
1000486 -3.00556 1 1
1000487 -4.96401 1 1
1000488 -8.85734 1 1
1000489 -2.94235 1 1
1000490 0.225648 1 1
1000491 5.6704 1 1
1000492 4.08418 1 1
1000493 -5.21674 1 1
1000494 -5.76612 1 1
1000495 0.0453412 1 1
1000496 5.30122 1 1
1000497 -6.08405 1 1
1000498 -0.668725 1 1
1000499 -2.22321 1 1
1000500 -3.15035 1 1
1000501 6.68621 1 1
1000502 -5.84725 1 1
1000503 1.23847 1 1
1000504 2.22195 1 1
1000505 1.96668 1 1
1000506 3.02263 1 1
1000507 -0.467741 1 1
1000508 0.973582 1 1
1000509 -0.87403 1 1
1000510 -2.76032 1 1
1000511 2.28577 1 1
1000512 -1.45001 1 1
1000513 2.54038 1 1
1000514 -6.78619 1 1
1000515 -0.519333 1 1
1000516 -0.360182 1 1
1000517 3.39914 1 1
1000518 -10.4349 1 1
1000519 2.41623 1 1
1000520 -3.07582 1 1
1000521 -3.08343 1 1
1000522 -6.32189 1 1
1000523 -2.27444 1 1
1000524 -2.35986 1 1
1000525 2.86438 1 1
1000526 0.439887 1 1
1000527 -0.692975 1 1
1000528 -8.01212 1 1
1000529 1.96067 1 1
1000530 -3.09851 1 1
1000531 -2.32182 1 1
1000532 5.05731 1 1
1000533 -5.08821 1 1
1000534 2.02653 1 1
1000535 -4.30722 1 1
1000536 0.686187 1 1
1000537 4.85626 1 1
1000538 -0.747957 1 1
1000539 2.22063 1 1
1000540 -0.377535 1 1
1000541 -2.20683 1 1
1000542 5.56539 1 1
1000543 -1.16111 1 1
1000544 6.88467 1 1
1000545 -0.815471 1 1
1000546 5.2623 1 1
1000547 3.23678 1 1
1000548 -10.0635 1 1
1000549 1.49047 1 1
1000550 3.76057 1 1
1000551 -2.93939 1 1
1000552 0.272797 1 1
1000553 -1.7835 1 1
1000554 -0.980016 1 1
1000555 -1.11776 1 1
1000556 -0.879677 1 1
1000557 0.233631 1 1
1000558 -1.85436 1 1
1000559 1.76857 1 1
1000560 4.62534 1 1
1000561 -0.730505 1 1
1000562 3.68663 1 1
1000563 1.63826 1 1
1000564 1.15827 1 1
1000565 -1.29906 1 1
1000566 -2.51914 1 1
1000567 4.73518 1 1
1000568 -2.95534 1 1
1000569 5.54109 1 1
1000570 -9.92095 1 1
1000571 -0.269608 1 1
1000572 3.57315 1 1
1000573 1.49232 1 1
1000574 9.76428 1 1
1000575 3.6119 1 1
1000576 -0.441034 1 1
1000577 0.640207 1 1
1000578 -10.1033 1 1
1000579 -4.74609 1 1
1000580 -1.79225 1 1
1000581 -8.61438 1 1
1000582 -4.50476 1 1
1000583 -3.47357 1 1
1000584 -0.851568 1 1
1000585 -0.256869 1 1
1000586 2.22705 1 1
1000587 -5.35652 1 1
1000588 -6.569 1 1
1000589 5.48216 1 1
1000590 6.72697 1 1
1000591 -3.93807 1 1
1000592 5.52674 1 1
1000593 -7.59391 1 1
1000594 4.82668 1 1
1000595 -3.26282 1 1
1000596 -0.81914 1 1
1000597 -1.0121 1 1
1000598 -3.84627 1 1
1000599 -2.79908 1 1
1000600 -1.4834 1 1
1000601 -2.20327 1 1
1000602 -3.14131 1 1
1000603 -0.568866 1 1
1000604 -2.32413 1 1
1000605 2.96214 1 1
1000606 4.30229 1 1
1000607 4.62763 1 1
1000608 -13.6853 1 1
1000609 0.922507 1 1
1000610 -4.69193 1 1
1000611 -1.47965 1 1
1000612 -10.4253 1 1
1000613 -1.05633 1 1
1000614 -8.68555 1 1
1000615 1.99984 1 1
1000616 -3.96197 1 1
1000617 1.12182 1 1
1000618 4.32687 1 1
1000619 -4.9089 1 1
1000620 -7.65257 1 1
1000621 -3.74879 1 1
1000622 3.78791 1 1
1000623 2.31396 1 1
1000624 3.89903 1 1
1000625 2.57955 1 1
1000626 0.477297 1 1
1000627 -7.03153 1 1
1000628 9.93025 1 1
1000629 -1.59012 1 1
1000630 -1.63785 1 1
1000631 1.8406 1 1
1000632 2.47551 1 1
1000633 1.91876 1 1
1000634 -3.04274 1 1
1000635 3.39864 1 1
1000636 0.0449772 1 1
1000637 -0.880747 1 1
1000638 3.60117 1 1
1000639 -3.45493 1 1
1000640 -1.08064 1 1
1000641 11.3774 1 1
1000642 6.01179 1 1
1000643 6.6674 1 1
1000644 -0.325355 1 1
1000645 0.75616 1 1
1000646 1.95446 1 1
1000647 4.10773 1 1
1000648 1.1309 1 1
1000649 0.841183 1 1
1000650 -5.04759 1 1
1000651 6.97056 1 1
1000652 0.305026 1 1
1000653 7.19294 1 1
1000654 4.35631 1 1
1000655 -6.37903 1 1
1000656 0.101347 1 1
1000657 3.30866 1 1
1000658 5.7182 1 1
1000659 -7.5281 1 1
1000660 -3.93888 1 1
1000661 -1.46254 1 1
1000662 6.07231 1 1
1000663 5.70037 1 1
1000664 3.19255 1 1
1000665 -4.28689 1 1
1000666 7.61894 1 1
1000667 0.753709 1 1
1000668 -0.28818 1 1
1000669 -2.49484 1 1
1000670 1.50508 1 1
1000671 1.37078 1 1
1000672 -5.21003 1 1
1000673 8.50609 1 1
1000674 0.869063 1 1
1000675 -5.72045 1 1
1000676 -5.80415 1 1
1000677 -1.5265 1 1
1000678 2.85849 1 1
1000679 5.89405 1 1
1000680 -4.33554 1 1
1000681 -8.84237 1 1
1000682 -8.2864 1 1
1000683 -5.48355 1 1
1000684 -6.2091 1 1
1000685 -10.2437 1 1
1000686 8.28412 1 1
1000687 0.465053 1 1
1000688 -5.15841 1 1
1000689 7.33347 1 1
1000690 1.65715 1 1
1000691 3.09963 1 1
1000692 0.294095 1 1
1000693 -2.28189 1 1
1000694 -2.69506 1 1
1000695 -0.209351 1 1
1000696 0.596705 1 1
1000697 -1.00837 1 1
1000698 -4.76725 1 1
1000699 1.53768 1 1
1000700 4.1393 1 1
1000701 -2.40984 1 1
1000702 -4.25971 1 1
1000703 -8.8016 1 1
1000704 -2.88949 1 1
1000705 -5.71186 1 1
1000706 -1.19043 1 1
1000707 5.65116 1 1
1000708 -1.79255 1 1
1000709 -0.840815 1 1
1000710 -3.68657 1 1
1000711 0.44414 1 1
1000712 2.47921 1 1
1000713 3.74065 1 1
1000714 3.29573 1 1
1000715 5.11091 1 1
1000716 -5.15154 1 1
1000717 0.414343 1 1
1000718 6.3685 1 1
1000719 -3.19729 1 1
1000720 -0.203292 1 1
1000721 -2.22792 1 1
1000722 -5.44658 1 1
1000723 -0.540713 1 1
1000724 -5.73084 1 1
1000725 -2.78533 1 1
1000726 -5.76647 1 1
1000727 -1.41606 1 1
1000728 2.46239 1 1
1000729 -1.42737 1 1
1000730 2.4389 1 1
1000731 -1.8343 1 1
1000732 -3.05891 1 1
1000733 -1.10601 1 1
1000734 0.0544044 1 1
1000735 -1.49647 1 1
1000736 5.37385 1 1
1000737 4.49645 1 1
1000738 7.72158 1 1
1000739 -8.35287 1 1
1000740 1.29867 1 1
1000741 2.56793 1 1
1000742 -5.65605 1 1
1000743 -8.61394 1 1
1000744 -0.603944 1 1
1000745 -4.24977 1 1
1000746 5.22597 1 1
1000747 4.30347 1 1
1000748 -2.98901 1 1
1000749 -14.818 1 1
1000750 -4.96359 1 1
1000751 3.45473 1 1
1000752 1.08664 1 1
1000753 5.39215 1 1
1000754 1.56297 1 1
1000755 -0.0265126 1 1
1000756 0.65843 1 1
1000757 -7.97224 1 1
1000758 0.419375 1 1
1000759 -5.65913 1 1
1000760 -4.13672 1 1
1000761 0.898686 1 1
1000762 -2.88026 1 1
1000763 -1.57268 1 1
1000764 9.01209 1 1
1000765 -10.4508 1 1
1000766 1.19929 1 1
1000767 -2.98172 1 1
1000768 -2.1873 1 1
1000769 -6.11252 1 1
1000770 1.60247 1 1
1000771 0.167847 1 1
1000772 -2.48472 1 1
1000773 3.15574 1 1
1000774 4.58487 1 1
1000775 -9.51022 1 1
1000776 -1.25224 1 1
1000777 1.70657 1 1
1000778 -4.31558 1 1
1000779 2.099 1 1
1000780 -2.99848 1 1
1000781 -1.91377 1 1
1000782 7.06139 1 1
1000783 0.348295 1 1
1000784 6.2104 1 1
1000785 -1.72029 1 1
1000786 0.694225 1 1
1000787 -2.48716 1 1
1000788 4.03917 1 1
1000789 -1.65939 1 1
1000790 1.27261 1 1
1000791 -0.11079 1 1
1000792 -2.20666 1 1
1000793 1.38554 1 1
1000794 -5.6133 1 1
1000795 6.85923 1 1
1000796 -7.4235 1 1
1000797 -6.36591 1 1
1000798 -2.2214 1 1
1000799 -0.111141 1 1
1000800 -0.939765 1 1
1000801 1.32082 1 1
1000802 11.1459 1 1
1000803 3.94744 1 1
1000804 2.97554 1 1
1000805 2.44158 1 1
1000806 9.36206 1 1
1000807 -9.35363 1 1
1000808 -1.93904 1 1
1000809 1.21802 1 1
1000810 -3.33209 1 1
1000811 -4.73521 1 1
1000812 -0.240485 1 1
1000813 4.28671 1 1
1000814 4.14019 1 1
1000815 0.943461 1 1
1000816 3.78707 1 1
1000817 1.01426 1 1
1000818 0.890084 1 1
1000819 -1.63882 1 1
1000820 4.93876 1 1
1000821 -1.84967 1 1
1000822 0.166509 1 1
1000823 -8.22873 1 1
1000824 4.37676 1 1
1000825 -4.84918 1 1
1000826 12.634 1 1
1000827 -5.8488 1 1
1000828 -2.01497 1 1
1000829 -1.90574 1 1
1000830 -4.47442 1 1
1000831 -1.35803 1 1
1000832 0.90241 1 1
1000833 -3.39442 1 1
1000834 -2.60823 1 1
1000835 0.527721 1 1
1000836 9.19316 1 1
1000837 0.38622 1 1
1000838 -4.6572 1 1
1000839 -2.26155 1 1
1000840 5.24289 1 1
1000841 5.46131 1 1
1000842 3.15506 1 1
1000843 1.53187 1 1
1000844 -7.40766 1 1
1000845 0.415678 1 1
1000846 0.780556 1 1
1000847 -4.12815 1 1
1000848 -1.80151 1 1
1000849 -0.847963 1 1
1000850 6.23046 1 1
1000851 0.880275 1 1
1000852 3.63771 1 1
1000853 -9.18421 1 1
1000854 6.87936 1 1
1000855 2.37441 1 1
1000856 3.89028 1 1
1000857 -1.80331 1 1
1000858 -9.10214 1 1
1000859 -4.70958 1 1
1000860 0.461629 1 1
1000861 2.09654 1 1
1000862 -4.13946 1 1
1000863 0.365633 1 1
1000864 -1.78608 1 1
1000865 0.840901 1 1
1000866 1.30775 1 1
1000867 -5.75157 1 1
1000868 3.60497 1 1
1000869 -2.56755 1 1
1000870 -3.53704 1 1
1000871 0.910346 1 1
1000872 -0.222771 1 1
1000873 -1.23169 1 1
1000874 -0.0851955 1 1
1000875 -7.66396 1 1
1000876 4.14861 1 1
1000877 0.0811394 1 1
1000878 -0.858855 1 1
1000879 -3.5305 1 1
1000880 5.60136 1 1
1000881 3.87587 1 1
1000882 10.5313 1 1
1000883 3.38482 1 1
1000884 -4.71594 1 1
1000885 -1.50957 1 1
1000886 -1.25128 1 1
1000887 -5.13506 1 1
1000888 6.51834 1 1
1000889 1.77435 1 1
1000890 -6.12534 1 1
1000891 -4.60117 1 1
1000892 3.12772 1 1
1000893 1.96011 1 1
1000894 -2.25839 1 1
1000895 -3.1395 1 1
1000896 2.5088 1 1
1000897 -5.98225 1 1
1000898 5.36287 1 1
1000899 -1.01466 1 1
1000900 -10.9055 1 1
1000901 -1.36093 1 1
1000902 -2.02655 1 1
1000903 0.475341 1 1
1000904 5.5708 1 1
1000905 0.6404 1 1
1000906 0.495171 1 1
1000907 -1.63626 1 1
1000908 -5.8146 1 1
1000909 -2.28911 1 1
1000910 -6.23387 1 1
1000911 0.882828 1 1
1000912 3.17406 1 1
1000913 -3.94545 1 1
1000914 1.64739 1 1
1000915 -1.61105 1 1
1000916 2.15539 1 1
1000917 5.04501 1 1
1000918 1.72865 1 1
1000919 2.24853 1 1
1000920 3.86825 1 1
1000921 1.22587 1 1
1000922 -1.20149 1 1
1000923 -6.71648 1 1
1000924 -4.4537 1 1
1000925 5.58186 1 1
1000926 9.82047 1 1
1000927 0.851614 1 1
1000928 -1.02761 1 1
1000929 -0.642238 1 1
1000930 2.91713 1 1
1000931 -1.14653 1 1
1000932 -1.71052 1 1
1000933 -2.27632 1 1
1000934 3.83216 1 1
1000935 -3.11497 1 1
1000936 3.28708 1 1
1000937 -1.75684 1 1
1000938 1.67663 1 1
1000939 4.4261 1 1
1000940 0.7361 1 1
1000941 -3.45451 1 1
1000942 5.75573 1 1
1000943 -3.91114 1 1
1000944 -4.86736 1 1
1000945 3.77029 1 1
1000946 0.479821 1 1
1000947 -0.606025 1 1
1000948 -3.33926 1 1
1000949 -1.44618 1 1
1000950 5.04065 1 1
1000951 -0.571185 1 1
1000952 0.715851 1 1
1000953 -3.72679 1 1
1000954 -0.451532 1 1
1000955 -3.00022 1 1
1000956 1.58969 1 1
1000957 -4.4396 1 1
1000958 -2.80174 1 1
1000959 4.2452 1 1
1000960 0.823424 1 1
1000961 -8.11604 1 1
1000962 -0.864432 1 1
1000963 10.2897 1 1
1000964 -3.2248 1 1
1000965 1.60345 1 1
1000966 7.00208 1 1
1000967 -1.05688 1 1
1000968 -4.10053 1 1
1000969 -0.3014 1 1
1000970 2.41162 1 1
1000971 -0.17504 1 1
1000972 -1.12604 1 1
1000973 -3.76481 1 1
1000974 -0.430705 1 1
1000975 -4.03823 1 1
1000976 -4.23319 1 1
1000977 1.62641 1 1
1000978 -4.85009 1 1
1000979 -5.77894 1 1
1000980 -3.13615 1 1
1000981 -2.16455 1 1
1000982 7.09631 1 1
1000983 0.38845 1 1
1000984 -2.83681 1 1
1000985 -0.114387 1 1
1000986 -9.16244 1 1
1000987 -2.77834 1 1
1000988 -1.58119 1 1
1000989 0.853124 1 1
1000990 -3.81749 1 1
1000991 -0.536454 1 1
1000992 -8.32123 1 1
1000993 -0.761299 1 1
1000994 -8.07982 1 1
1000995 1.81956 1 1
1000996 -5.58087 1 1
1000997 -11.4775 1 1
1000998 1.92288 1 1
1000999 1.38007 1 1
1001000 -6.01786 1 1
1001001 2.7353 1 1
1001002 2.30242 1 1
1001003 -4.48718 1 1
1001004 -2.58154 1 1
1001005 -4.81272 1 1
1001006 4.09714 1 1
1001007 -5.03426 1 1
1001008 0.375327 1 1
1001009 -5.28644 1 1
1001010 -6.34888 1 1
1001011 -3.57053 1 1
1001012 1.99934 1 1
1001013 -0.795519 1 1
1001014 -5.7993 1 1
1001015 4.25727 1 1
1001016 -0.295287 1 1
1001017 2.14122 1 1
1001018 -0.414818 1 1
1001019 3.31318 1 1
1001020 0.992958 1 1
1001021 -0.020853 1 1
1001022 8.66803 1 1
1001023 7.25868 1 1
1001024 -3.8763 1 1
1001025 -2.73967 1 1
1001026 -2.21946 1 1
1001027 1.48404 1 1
1001028 -9.79582 1 1
1001029 1.70731 1 1
1001030 0.826214 1 1
1001031 -3.4291 1 1
1001032 -3.23528 1 1
